building_id,room_id,room_name,Hour,Length of Class,building_name,abbr_building_name,class_number,Full Name of Space
3,68,124 Classroom,915,60,Benson,BEN,124,BEN124
3,68,124 Classroom,975,45,Benson,BEN,124,BEN124
3,68,124 Classroom,1020,120,Benson,BEN,124,BEN124
3,68,124 Classroom,690,60,Benson,BEN,124,BEN124
3,68,124 Classroom,765,60,Benson,BEN,124,BEN124
3,68,124 Classroom,840,60,Benson,BEN,124,BEN124
3,68,124 Classroom,615,60,Benson,BEN,124,BEN124
3,68,124 Classroom,540,60,Benson,BEN,124,BEN124
3,68,124 Classroom,465,60,Benson,BEN,124,BEN124
3,69,133 Classroom,615,60,Benson,BEN,133,BEN133
3,69,133 Classroom,540,60,Benson,BEN,133,BEN133
3,69,133 Classroom,750,60,Benson,BEN,133,BEN133
3,72,154 Classroom,765,60,Benson,BEN,154,BEN154
3,72,154 Classroom,840,60,Benson,BEN,154,BEN154
3,72,154 Classroom,615,60,Benson,BEN,154,BEN154
3,72,154 Classroom,540,60,Benson,BEN,154,BEN154
3,457,1FF Foyer,630,30,Benson,BEN,1FF,BEN1FF
3,74,216 Conference Room (Biology Dept),840,60,Benson,BEN,216,BEN216
3,74,216 Conference Room (Biology Dept),540,60,Benson,BEN,216,BEN216
3,74,216 Conference Room (Biology Dept),615,60,Benson,BEN,216,BEN216
3,75,219 Lecture Hall,465,60,Benson,BEN,219,BEN219
3,75,219 Lecture Hall,540,60,Benson,BEN,219,BEN219
3,75,219 Lecture Hall,615,60,Benson,BEN,219,BEN219
3,75,219 Lecture Hall,690,60,Benson,BEN,219,BEN219
3,75,219 Lecture Hall,765,60,Benson,BEN,219,BEN219
3,75,219 Lecture Hall,840,60,Benson,BEN,219,BEN219
3,75,219 Lecture Hall,915,60,Benson,BEN,219,BEN219
3,79,224 Lecture Hall,765,60,Benson,BEN,224,BEN224
3,79,224 Lecture Hall,615,60,Benson,BEN,224,BEN224
3,79,224 Lecture Hall,690,60,Benson,BEN,224,BEN224
3,79,224 Lecture Hall,540,60,Benson,BEN,224,BEN224
3,79,224 Lecture Hall,840,60,Benson,BEN,224,BEN224
3,80,229 Computer Lab,915,180,Benson,BEN,229,BEN229
3,82,236 Soils Lab,540,60,Benson,BEN,236,BEN236
3,82,236 Soils Lab,840,60,Benson,BEN,236,BEN236
3,82,236 Soils Lab,765,60,Benson,BEN,236,BEN236
3,84,269 Classroom,540,60,Benson,BEN,269,BEN269
3,84,269 Classroom,615,60,Benson,BEN,269,BEN269
3,84,269 Classroom,690,60,Benson,BEN,269,BEN269
3,84,269 Classroom,465,60,Benson,BEN,269,BEN269
3,84,269 Classroom,765,60,Benson,BEN,269,BEN269
3,84,269 Classroom,840,60,Benson,BEN,269,BEN269
3,84,269 Classroom,960,150,Benson,BEN,269,BEN269
3,85,270 Lecture Hall,540,60,Benson,BEN,270,BEN270
3,85,270 Lecture Hall,765,60,Benson,BEN,270,BEN270
3,85,270 Lecture Hall,840,60,Benson,BEN,270,BEN270
3,85,270 Lecture Hall,465,60,Benson,BEN,270,BEN270
3,85,270 Lecture Hall,615,60,Benson,BEN,270,BEN270
3,85,270 Lecture Hall,690,60,Benson,BEN,270,BEN270
3,86,271 Classroom,765,60,Benson,BEN,271,BEN271
3,86,271 Classroom,840,60,Benson,BEN,271,BEN271
3,86,271 Classroom,915,60,Benson,BEN,271,BEN271
3,86,271 Classroom,465,60,Benson,BEN,271,BEN271
3,86,271 Classroom,540,60,Benson,BEN,271,BEN271
3,86,271 Classroom,690,60,Benson,BEN,271,BEN271
3,86,271 Classroom,615,60,Benson,BEN,271,BEN271
3,86,271 Classroom,1020,90,Benson,BEN,271,BEN271
3,94,287 Lecture Hall,840,60,Benson,BEN,287,BEN287
3,94,287 Lecture Hall,615,60,Benson,BEN,287,BEN287
3,94,287 Lecture Hall,690,60,Benson,BEN,287,BEN287
3,94,287 Lecture Hall,540,60,Benson,BEN,287,BEN287
3,94,287 Lecture Hall,765,60,Benson,BEN,287,BEN287
3,94,287 Lecture Hall,465,60,Benson,BEN,287,BEN287
47,854,151 Conference Room,900,60,Biddulph Hall,,151,151
47,854,151 Conference Room,630,30,Biddulph Hall,,151,151
47,854,151 Conference Room,570,60,Biddulph Hall,,151,151
47,856,212 Conference Room,600,60,Biddulph Hall,,212,212
47,856,212 Conference Room,870,60,Biddulph Hall,,212,212
47,855,251 Conference Room,660,60,Biddulph Hall,,251,251
47,855,251 Conference Room,975,60,Biddulph Hall,,251,251
45,569,Auditorium,540,60,BYU-Idaho Center,,Auditorium,Auditorium
45,601,Court 03,465,60,BYU-Idaho Center,,Court,Court
45,601,Court 03,390,60,BYU-Idaho Center,,Court,Court
45,601,Court 03,765,120,BYU-Idaho Center,,Court,Court
45,602,Court 04,390,60,BYU-Idaho Center,,Court,Court
45,602,Court 04,660,120,BYU-Idaho Center,,Court,Court
45,603,Court 05,675,15,BYU-Idaho Center,,Court,Court
45,603,Court 05,900,285,BYU-Idaho Center,,Court,Court
45,603,Court 05,390,60,BYU-Idaho Center,,Court,Court
